customer_id,order_date,previous_order,days_gap
170,2026-06-23,,
171,2024-09-19,,
171,2026-08-06,2024-09-19,686.0
172,2025-06-24,,
172,2026-07-05,2025-06-24,376.0
173,2024-12-10,,
174,2025-12-12,,
175,2025-01-09,,
175,2025-09-10,2025-01-09,244.0
176,2024-02-09,,
176,2024-12-25,2024-02-09,320.0
178,2025-03-14,,
178,2025-12-14,2025-03-14,275.0
178,2026-10-04,2025-12-14,294.0
179,2026-04-05,,
180,2024-08-25,,
180,2025-08-07,2024-08-25,347.0
181,2025-12-24,,
182,2025-06-28,,
183,2024-11-25,,
183,2025-06-03,2024-11-25,190.0
184,2024-09-20,,
184,2025-03-08,2024-09-20,169.0
184,2025-08-04,2025-03-08,149.0
184,2026-06-22,2025-08-04,322.0
185,2024-07-26,,
185,2024-12-14,2024-07-26,141.0
186,2024-11-14,,
186,2025-07-14,2024-11-14,242.0
186,2026-04-13,2025-07-14,273.0
189,2025-05-29,,
189,2025-08-10,2025-05-29,73.0
190,2024-01-08,,
191,2025-02-04,,
191,2025-03-27,2025-02-04,51.0
193,2024-07-18,,
193,2025-02-18,2024-07-18,215.0
193,2025-09-04,2025-02-18,198.0
193,2025-11-11,2025-09-04,68.0
193,2026-03-19,2025-11-11,128.0
195,2025-12-23,,
195,2026-01-22,2025-12-23,30.0
195,2026-04-14,2026-01-22,82.0
198,2024-07-16,,
198,2024-09-21,2024-07-16,67.0
199,2025-12-24,,
199,2026-02-06,2025-12-24,44.0
199,2026-04-21,2026-02-06,74.0
201,2026-06-30,,
203,2024-11-30,,
203,2025-06-03,2024-11-30,185.0
204,2024-12-15,,
205,2026-05-15,,
206,2025-04-09,,
206,2025-08-12,2025-04-09,125.0
207,2024-09-13,,
208,2024-12-04,,
209,2024-11-29,,
211,2025-06-06,,
211,2026-04-04,2025-06-06,302.0
212,2024-11-23,,
212,2026-03-04,2024-11-23,466.0
214,2024-03-10,,
214,2026-01-29,2024-03-10,690.0
215,2025-08-13,,
216,2024-12-11,,
216,2025-02-19,2024-12-11,70.0
217,2024-12-24,,
218,2025-03-10,,
219,2024-10-18,,
219,2024-11-10,2024-10-18,23.0
220,2025-01-07,,
221,2026-01-26,,
223,2024-11-14,,
224,2024-07-10,,
224,2024-07-25,2024-07-10,15.0
224,2025-01-06,2024-07-25,165.0
225,2025-07-01,,
225,2025-12-04,2025-07-01,156.0
226,2026-12-05,,
227,2026-03-21,,
228,2025-04-05,,
229,2024-12-23,,
229,2025-12-10,2024-12-23,352.0
231,2025-12-01,,
234,2026-02-18,,
234,2026-07-10,2026-02-18,142.0
235,2025-10-01,,
235,2026-03-03,2025-10-01,153.0
236,2024-12-30,,
236,2025-05-24,2024-12-30,145.0
238,2024-09-26,,
241,2024-07-15,,
241,2024-10-13,2024-07-15,90.0
244,2024-09-08,,
244,2025-06-04,2024-09-08,269.0
244,2025-11-02,2025-06-04,151.0
245,2025-07-11,,
247,2025-02-10,,
248,2025-02-02,,
249,2024-11-22,,
249,2025-04-19,2024-11-22,148.0
249,2025-10-23,2025-04-19,187.0
251,2025-04-27,,
253,2026-04-01,,
254,2024-09-03,,
254,2025-01-22,2024-09-03,141.0
257,2025-01-13,,
257,2026-04-06,2025-01-13,448.0
258,2026-07-01,,
259,2025-11-15,,
260,2025-10-08,,
262,2025-04-28,,
262,2026-07-04,2025-04-28,432.0
263,2025-06-15,,
263,2025-09-06,2025-06-15,83.0
264,2024-07-14,,
265,2024-08-29,,
266,2025-08-27,,
268,2026-04-07,,
268,2026-11-02,2026-04-07,209.0
269,2025-02-25,,
269,2025-04-23,2025-02-25,57.0
269,2025-12-05,2025-04-23,226.0
270,2024-11-24,,
270,2025-04-29,2024-11-24,156.0
270,2025-11-19,2025-04-29,204.0
271,2024-12-18,,
274,2025-11-16,,
275,2026-10-03,,
276,2025-11-15,,
278,2025-06-18,,
278,2025-12-31,2025-06-18,196.0
281,2025-10-17,,
282,2024-09-19,,
283,2025-08-04,,
284,2026-05-04,,
285,2024-01-10,,
285,2025-12-28,2024-01-10,718.0
286,2024-08-09,,
287,2026-03-05,,
288,2026-04-01,,
290,2025-10-19,,
290,2026-08-03,2025-10-19,288.0
291,2024-02-09,,
291,2024-11-26,2024-02-09,291.0
292,2025-08-15,,
292,2025-09-25,2025-08-15,41.0
294,2025-08-29,,
294,2025-09-17,2025-08-29,19.0
297,2025-02-09,,
297,2025-03-29,2025-02-09,48.0
298,2026-03-21,,
299,2024-11-09,,
299,2025-05-23,2024-11-09,195.0
301,2026-03-19,,
302,2026-05-23,,
303,2025-12-23,,
303,2026-06-26,2025-12-23,185.0
305,2025-05-13,,
305,2026-04-07,2025-05-13,329.0
305,2026-06-04,2026-04-07,58.0
306,2025-08-19,,
307,2024-09-10,,
307,2025-12-31,2024-09-10,477.0
308,2025-12-15,,
308,2026-05-06,2025-12-15,142.0
310,2024-10-12,,
310,2025-04-02,2024-10-12,172.0
310,2026-09-06,2025-04-02,522.0
311,2025-05-19,,
312,2024-12-07,,
312,2025-06-09,2024-12-07,184.0
315,2024-08-15,,
316,2025-01-27,,
316,2025-02-20,2025-01-27,24.0
316,2025-09-16,2025-02-20,208.0
316,2026-02-13,2025-09-16,150.0
316,2026-10-04,2026-02-13,233.0
317,2025-05-11,,
320,2024-01-08,,
321,2024-10-09,,
322,2026-06-26,,
322,2026-10-04,2026-06-26,100.0
323,2024-01-10,,
323,2025-11-11,2024-01-10,671.0
324,2025-05-01,,
324,2025-08-14,2025-05-01,105.0
324,2026-05-18,2025-08-14,277.0
325,2026-02-19,,
326,2024-10-08,,
326,2025-05-11,2024-10-08,215.0
328,2025-03-26,,
329,2024-05-10,,
329,2026-05-17,2024-05-10,737.0
330,2025-05-09,,
331,2026-04-25,,
332,2025-10-13,,
333,2024-01-12,,
333,2025-01-12,2024-01-12,366.0
333,2026-03-26,2025-01-12,438.0
334,2026-02-23,,
335,2025-01-20,,
336,2024-08-13,,
336,2025-01-29,2024-08-13,169.0
336,2026-04-16,2025-01-29,442.0
338,2025-08-09,,
339,2025-06-21,,
339,2025-09-06,2025-06-21,77.0
340,2026-05-16,,
341,2024-10-11,,
342,2026-04-17,,
342,2026-06-13,2026-04-17,57.0
344,2025-08-10,,
344,2025-12-22,2025-08-10,134.0
346,2024-07-22,,
346,2025-11-04,2024-07-22,470.0
347,2024-10-30,,
347,2025-08-11,2024-10-30,285.0
347,2025-10-24,2025-08-11,74.0
348,2025-03-27,,
349,2025-02-25,,
350,2026-06-06,,
351,2025-11-06,,
351,2026-01-28,2025-11-06,83.0
352,2024-03-09,,
352,2025-05-17,2024-03-09,434.0
352,2026-01-22,2025-05-17,250.0
353,2025-04-03,,
353,2025-11-06,2025-04-03,217.0
354,2025-08-12,,
355,2024-12-16,,
356,2025-05-25,,
356,2026-04-04,2025-05-25,314.0
356,2026-06-24,2026-04-04,81.0
357,2025-09-11,,
359,2026-04-03,,
360,2026-06-04,,
361,2025-06-17,,
361,2026-02-02,2025-06-17,230.0
362,2025-07-16,,
362,2025-08-01,2025-07-16,16.0
363,2025-05-07,,
363,2026-04-16,2025-05-07,344.0
364,2026-08-04,,
365,2025-11-22,,
365,2026-04-02,2025-11-22,131.0
367,2025-09-28,,
368,2025-09-10,,
368,2025-10-11,2025-09-10,31.0
368,2026-03-26,2025-10-11,166.0
368,2026-12-02,2026-03-26,251.0
369,2025-02-17,,
371,2025-04-20,,
371,2025-05-16,2025-04-20,26.0
371,2025-10-22,2025-05-16,159.0
373,2025-09-02,,
373,2026-07-02,2025-09-02,303.0
374,2024-12-30,,
375,2025-09-21,,
375,2025-11-16,2025-09-21,56.0
376,2026-03-14,,
377,2024-09-24,,
377,2026-04-02,2024-09-24,555.0
378,2025-04-23,,
378,2025-09-03,2025-04-23,133.0
379,2024-10-25,,
379,2025-03-25,2024-10-25,151.0
380,2025-03-30,,
380,2025-07-30,2025-03-30,122.0
380,2026-02-04,2025-07-30,189.0
381,2025-11-02,,
381,2026-01-03,2025-11-02,62.0
381,2026-06-30,2026-01-03,178.0
382,2025-11-02,,
383,2024-09-20,,
385,2024-08-24,,
385,2025-07-14,2024-08-24,324.0
386,2025-01-06,,
386,2025-06-13,2025-01-06,158.0
388,2025-04-02,,
388,2025-08-06,2025-04-02,126.0
390,2024-07-26,,
390,2025-06-09,2024-07-26,318.0
391,2024-08-29,,
391,2024-11-19,2024-08-29,82.0
392,2024-10-16,,
392,2025-12-25,2024-10-16,435.0
393,2024-10-21,,
393,2025-06-14,2024-10-21,236.0
394,2025-06-04,,
394,2026-01-05,2025-06-04,215.0
396,2025-02-24,,
398,2024-09-15,,
398,2025-01-02,2024-09-15,109.0
398,2025-04-20,2025-01-02,108.0
398,2025-07-03,2025-04-20,74.0
398,2025-12-01,2025-07-03,151.0
400,2025-03-15,,
403,2024-12-17,,
403,2025-07-06,2024-12-17,201.0
404,2025-06-04,,
405,2025-09-28,,
405,2025-12-23,2025-09-28,86.0
406,2025-09-13,,
407,2025-01-22,,
407,2026-09-04,2025-01-22,590.0
408,2025-03-17,,
408,2026-05-06,2025-03-17,415.0
410,2025-04-20,,
411,2025-07-07,,
411,2025-09-27,2025-07-07,82.0
412,2024-07-28,,
414,2025-01-11,,
415,2026-03-27,,
416,2024-04-11,,
416,2025-11-01,2024-04-11,569.0
417,2025-08-02,,
417,2026-04-23,2025-08-02,264.0
421,2026-03-13,,
421,2026-04-02,2026-03-13,20.0
422,2026-03-25,,
423,2025-03-29,,
423,2026-06-25,2025-03-29,453.0
424,2024-02-12,,
424,2025-05-22,2024-02-12,465.0
424,2025-10-04,2025-05-22,135.0
425,2026-06-25,,
426,2025-10-22,,
427,2024-09-10,,
427,2025-02-09,2024-09-10,152.0
429,2026-05-30,,
430,2025-11-19,,
431,2025-08-21,,
432,2025-01-30,,
433,2026-11-07,,
434,2025-10-18,,
434,2026-05-14,2025-10-18,208.0
435,2025-06-11,,
436,2025-07-21,,
436,2026-05-07,2025-07-21,290.0
438,2025-09-03,,
439,2024-08-23,,
440,2025-10-19,,
440,2026-02-19,2025-10-19,123.0
440,2026-05-28,2026-02-19,98.0
441,2024-12-29,,
441,2025-11-24,2024-12-29,330.0
441,2026-06-17,2025-11-24,205.0
442,2026-04-04,,
443,2025-12-20,,
443,2026-10-04,2025-12-20,288.0
444,2025-10-25,,
446,2024-07-30,,
446,2024-11-22,2024-07-30,115.0
446,2025-05-23,2024-11-22,182.0
446,2025-06-17,2025-05-23,25.0
446,2026-05-14,2025-06-17,331.0
448,2025-01-29,,
449,2024-12-10,,
449,2026-07-03,2024-12-10,570.0
451,2025-10-05,,
452,2025-08-03,,
452,2025-12-03,2025-08-03,122.0
454,2025-02-04,,
454,2026-05-03,2025-02-04,453.0
455,2024-03-09,,
455,2025-07-20,2024-03-09,498.0
457,2025-05-09,,
457,2025-05-16,2025-05-09,7.0
457,2026-01-25,2025-05-16,254.0
460,2024-09-20,,
460,2025-08-12,2024-09-20,326.0
461,2025-12-15,,
462,2025-01-09,,
462,2025-09-23,2025-01-09,257.0
463,2024-12-26,,
463,2025-04-28,2024-12-26,123.0
464,2025-03-21,,
464,2026-03-26,2025-03-21,370.0
465,2025-07-16,,
465,2025-07-26,2025-07-16,10.0
465,2025-12-04,2025-07-26,131.0
466,2024-08-26,,
466,2026-01-19,2024-08-26,511.0
467,2024-11-20,,
467,2025-08-02,2024-11-20,255.0
467,2026-02-22,2025-08-02,204.0
467,2026-04-14,2026-02-22,51.0
468,2026-05-23,,
469,2025-01-05,,
469,2025-11-07,2025-01-05,306.0
470,2026-06-22,,
471,2026-08-01,,
473,2025-08-04,,
474,2025-07-25,,
474,2025-11-06,2025-07-25,104.0
474,2026-02-01,2025-11-06,87.0
475,2025-07-30,,
475,2025-10-31,2025-07-30,93.0
475,2026-03-02,2025-10-31,122.0
475,2026-10-02,2026-03-02,214.0
476,2025-09-21,,
477,2024-07-26,,
477,2026-02-14,2024-07-26,568.0
483,2025-08-30,,
484,2024-12-24,,
484,2025-07-03,2024-12-24,191.0
485,2026-03-21,,
487,2026-02-13,,
488,2024-09-21,,
488,2026-01-23,2024-09-21,489.0
490,2024-12-19,,
490,2026-03-29,2024-12-19,465.0
491,2025-05-13,,
491,2025-07-07,2025-05-13,55.0
492,2024-10-05,,
493,2026-06-25,,
494,2024-12-28,,
494,2025-02-07,2024-12-28,41.0
494,2026-01-23,2025-02-07,350.0
495,2024-11-22,,
496,2024-07-15,,
496,2025-06-05,2024-07-15,325.0
499,2026-04-13,,
500,2024-10-29,,
500,2025-01-05,2024-10-29,68.0
500,2025-11-30,2025-01-05,329.0
501,2024-05-12,,
501,2024-10-21,2024-05-12,162.0
501,2025-05-06,2024-10-21,197.0
502,2025-10-15,,
502,2026-02-15,2025-10-15,123.0
502,2026-04-28,2026-02-15,72.0
503,2024-12-18,,
503,2025-07-01,2024-12-18,195.0
503,2026-04-17,2025-07-01,290.0
503,2026-06-20,2026-04-17,64.0
505,2025-08-15,,
507,2026-12-01,,
511,2024-11-09,,
511,2025-11-14,2024-11-09,370.0
512,2025-01-18,,
512,2025-04-25,2025-01-18,97.0
512,2025-09-28,2025-04-25,156.0
514,2025-12-20,,
515,2026-11-02,,
517,2025-11-16,,
517,2026-04-22,2025-11-16,157.0
518,2026-11-03,,
519,2025-07-13,,
521,2025-11-21,,
523,2024-07-28,,
524,2024-08-26,,
527,2025-03-08,,
527,2025-05-31,2025-03-08,84.0
527,2025-12-29,2025-05-31,212.0
528,2026-03-01,,
528,2026-05-28,2026-03-01,88.0
528,2026-06-03,2026-05-28,6.0
529,2026-05-21,,
530,2025-07-03,,
530,2026-01-22,2025-07-03,203.0
531,2025-08-13,,
533,2024-08-30,,
533,2025-05-22,2024-08-30,265.0
534,2025-01-19,,
534,2025-06-16,2025-01-19,148.0
534,2025-11-07,2025-06-16,144.0
536,2025-05-19,,
536,2026-09-02,2025-05-19,471.0
537,2025-04-14,,
538,2024-07-11,,
538,2025-05-11,2024-07-11,304.0
539,2025-01-06,,
539,2025-06-22,2025-01-06,167.0
539,2025-10-22,2025-06-22,122.0
540,2026-02-24,,
541,2024-10-25,,
541,2025-01-13,2024-10-25,80.0
541,2025-08-28,2025-01-13,227.0
543,2025-03-25,,
544,2025-09-14,,
544,2026-04-07,2025-09-14,205.0
545,2025-09-22,,
545,2025-09-25,2025-09-22,3.0
545,2025-12-28,2025-09-25,94.0
546,2025-06-21,,
546,2026-09-02,2025-06-21,438.0
547,2024-12-11,,
548,2026-02-21,,
549,2026-04-26,,
550,2024-12-12,,
550,2025-09-17,2024-12-12,279.0
551,2026-01-04,,
551,2026-03-17,2026-01-04,72.0
552,2026-06-02,,
553,2024-07-26,,
557,2026-03-25,,
558,2025-06-08,,
559,2024-08-12,,
560,2024-05-12,,
560,2025-04-30,2024-05-12,353.0
561,2025-10-24,,
562,2025-07-07,,
563,2025-11-20,,
563,2026-05-27,2025-11-20,188.0
564,2025-06-23,,
564,2026-06-26,2025-06-23,368.0
565,2024-11-12,,
566,2025-07-03,,
567,2025-12-06,,
567,2026-03-17,2025-12-06,101.0
567,2026-07-04,2026-03-17,109.0
568,2025-11-12,,
568,2026-01-17,2025-11-12,66.0
569,2025-12-08,,
570,2025-08-31,,
571,2026-02-24,,
574,2025-06-11,,
575,2024-10-11,,
576,2024-12-09,,
576,2024-12-31,2024-12-09,22.0
576,2026-05-24,2024-12-31,509.0
578,2024-03-09,,
578,2025-03-27,2024-03-09,383.0
578,2025-09-11,2025-03-27,168.0
579,2025-04-27,,
580,2024-07-26,,
580,2025-12-01,2024-07-26,493.0
581,2025-01-26,,
581,2025-07-05,2025-01-26,160.0
581,2026-01-21,2025-07-05,200.0
582,2024-02-12,,
585,2025-01-30,,
585,2026-07-05,2025-01-30,521.0
586,2024-11-07,,
586,2025-05-23,2024-11-07,197.0
587,2024-08-27,,
587,2026-02-07,2024-08-27,529.0
588,2024-12-18,,
588,2025-01-23,2024-12-18,36.0
589,2024-01-12,,
590,2025-12-28,,
591,2024-03-08,,
592,2024-05-09,,
592,2024-11-22,2024-05-09,197.0
592,2024-12-19,2024-11-22,27.0
592,2026-01-19,2024-12-19,396.0
592,2026-06-25,2026-01-19,157.0
593,2025-11-11,,
595,2024-01-09,,
597,2024-07-28,,
597,2026-07-05,2024-07-28,707.0
599,2025-06-11,,
599,2025-12-18,2025-06-11,190.0
600,2024-09-15,,
