region_code,order_date,daily_revenue,running_total
EAST,2026-06-30,38698.5,3354333.39
EAST,2026-07-02,32075.06,3386408.45
EAST,2026-07-04,25361.59,3411770.03
EAST,2026-07-05,20641.47,3432411.5
EAST,2026-08-01,61688.33,3494099.84
EAST,2026-08-04,34128.82,3528228.66
EAST,2026-10-03,1819.76,3530048.42
EAST,2026-10-04,91173.61,3621222.03
EAST,2026-11-02,49774.37,3670996.4
EAST,2026-12-01,28150.18,3699146.59
EAST,2026-12-05,20529.63,3719676.22
NORTH,2024-01-08,8685.88,8685.88
NORTH,2024-01-09,40942.47,49628.35
NORTH,2024-01-12,28780.58,78408.93
NORTH,2024-03-10,49067.27,127476.21
NORTH,2024-04-11,31746.32,159222.53
NORTH,2024-04-12,29561.88,188784.41
NORTH,2024-05-11,33449.85,222234.26
NORTH,2024-07-16,9085.05,231319.3
NORTH,2024-07-17,15332.64,246651.95
NORTH,2024-07-22,21046.74,267698.69
NORTH,2024-07-26,2547.11,270245.8
NORTH,2024-07-28,7345.72,277591.52
NORTH,2024-07-30,10936.33,288527.86
NORTH,2024-08-15,14716.32,303244.17
NORTH,2024-08-16,11655.69,314899.86
NORTH,2024-08-29,20700.52,335600.37
NORTH,2024-09-03,12281.37,347881.74
NORTH,2024-09-08,6961.97,354843.71
NORTH,2024-09-14,39865.13,394708.84
NORTH,2024-09-19,59077.06,453785.91
NORTH,2024-09-20,39989.44,493775.34
NORTH,2024-09-22,38192.12,531967.46
NORTH,2024-09-26,1445.99,533413.45
NORTH,2024-10-11,11642.57,545056.02
NORTH,2024-10-26,21193.71,566249.74
NORTH,2024-10-27,29524.54,595774.27
NORTH,2024-10-29,21182.8,616957.07
NORTH,2024-10-30,41629.87,658586.94
NORTH,2024-11-07,26708.64,685295.58
NORTH,2024-11-10,9523.13,694818.71
NORTH,2024-11-12,26811.23,721629.94
NORTH,2024-11-14,26724.67,748354.61
NORTH,2024-11-19,7285.42,755640.03
NORTH,2024-11-20,34207.51,789847.54
NORTH,2024-11-22,39642.48,829490.02
NORTH,2024-11-25,26172.04,855662.06
NORTH,2024-12-07,19850.53,875512.58
NORTH,2024-12-11,16328.22,891840.8
NORTH,2024-12-15,8490.9,900331.7
NORTH,2024-12-18,23580.56,923912.26
NORTH,2024-12-19,62584.32,986496.57
NORTH,2024-12-22,15333.94,1001830.51
NORTH,2024-12-23,686.98,1002517.49
NORTH,2024-12-25,11777.82,1014295.31
NORTH,2024-12-30,18705.37,1033000.68
NORTH,2025-01-06,16330.63,1049331.31
NORTH,2025-01-07,17908.74,1067240.05
NORTH,2025-01-13,3583.21,1070823.26
NORTH,2025-01-17,5785.66,1076608.92
NORTH,2025-01-26,1495.48,1078104.4
NORTH,2025-01-27,7951.2,1086055.6
NORTH,2025-02-07,33121.02,1119176.62
NORTH,2025-02-17,13621.58,1132798.2
NORTH,2025-02-18,9249.6,1142047.8
NORTH,2025-02-19,16520.92,1158568.72
NORTH,2025-02-24,45633.29,1204202.01
NORTH,2025-03-02,22804.37,1227006.38
NORTH,2025-03-06,3994.54,1231000.92
NORTH,2025-03-15,24439.88,1255440.8
NORTH,2025-03-29,11335.21,1266776.0
NORTH,2025-03-30,35133.09,1301909.1
NORTH,2025-04-19,53416.05,1355325.15
NORTH,2025-04-20,15984.48,1371309.63
NORTH,2025-04-27,14174.99,1385484.61
NORTH,2025-04-28,4873.15,1390357.76
NORTH,2025-04-30,16923.84,1407281.61
NORTH,2025-05-09,8051.49,1415333.1
NORTH,2025-05-11,778.02,1416111.11
NORTH,2025-05-21,4481.0,1420592.11
NORTH,2025-05-29,6919.23,1427511.34
NORTH,2025-06-03,30248.49,1457759.83
NORTH,2025-06-09,29642.53,1487402.36
NORTH,2025-06-11,5220.99,1492623.35
NORTH,2025-06-16,43926.28,1536549.63
NORTH,2025-06-18,39950.02,1576499.64
NORTH,2025-06-24,7142.29,1583641.93
NORTH,2025-06-28,29239.62,1612881.55
NORTH,2025-07-01,10751.76,1623633.31
NORTH,2025-07-03,64335.34,1687968.65
NORTH,2025-07-07,16225.3,1704193.95
NORTH,2025-07-10,8256.93,1712450.88
NORTH,2025-07-14,8043.55,1720494.43
NORTH,2025-07-23,12098.5,1732592.93
NORTH,2025-07-25,8763.32,1741356.25
NORTH,2025-07-30,4204.51,1745560.76
NORTH,2025-08-01,33277.73,1778838.49
NORTH,2025-08-05,6549.01,1785387.51
NORTH,2025-08-08,28824.58,1814212.08
NORTH,2025-08-09,9110.56,1823322.64
NORTH,2025-08-10,15450.96,1838773.6
NORTH,2025-08-11,30952.09,1869725.69
NORTH,2025-08-12,13845.29,1883570.99
NORTH,2025-08-15,28846.92,1912417.91
NORTH,2025-08-19,22093.29,1934511.19
NORTH,2025-08-31,57300.72,1991811.91
NORTH,2025-09-02,12117.12,2003929.03
NORTH,2025-09-03,13821.54,2017750.57
NORTH,2025-09-06,14844.81,2032595.38
NORTH,2025-09-10,48029.51,2080624.89
NORTH,2025-09-14,53537.09,2134161.99
NORTH,2025-09-17,39699.38,2173861.37
NORTH,2025-09-21,23895.48,2197756.85
NORTH,2025-09-22,23550.1,2221306.95
NORTH,2025-10-15,7920.44,2229227.4
NORTH,2025-10-19,14398.53,2243625.93
NORTH,2025-10-22,56431.36,2300057.28
NORTH,2025-10-23,34315.82,2334373.1
NORTH,2025-11-01,24279.25,2358652.35
NORTH,2025-11-02,15069.69,2373722.03
NORTH,2025-11-04,40149.01,2413871.05
NORTH,2025-11-11,4940.36,2418811.41
NORTH,2025-11-14,28316.01,2447127.42
NORTH,2025-11-16,31523.38,2478650.8
NORTH,2025-12-01,20271.38,2498922.18
NORTH,2025-12-06,19435.65,2518357.83
NORTH,2025-12-07,30056.16,2548413.99
NORTH,2025-12-14,30256.81,2578670.8
NORTH,2025-12-20,22559.74,2601230.54
NORTH,2025-12-28,10278.91,2611509.45
NORTH,2026-01-04,6285.66,2617795.12
NORTH,2026-01-05,12362.27,2630157.39
NORTH,2026-01-26,33674.94,2663832.33
NORTH,2026-02-01,21453.39,2685285.72
NORTH,2026-02-07,21970.09,2707255.81
NORTH,2026-02-14,10157.66,2717413.48
NORTH,2026-02-15,22601.35,2740014.83
NORTH,2026-02-18,3875.03,2743889.86
NORTH,2026-03-04,11419.25,2755309.11
NORTH,2026-03-13,12162.8,2767471.91
NORTH,2026-03-17,680.22,2768152.14
NORTH,2026-03-21,13763.31,2781915.45
NORTH,2026-04-02,41442.39,2823357.83
NORTH,2026-04-04,19244.25,2842602.08
NORTH,2026-04-06,10146.16,2852748.24
NORTH,2026-04-13,18559.52,2871307.76
NORTH,2026-04-23,18096.27,2889404.03
NORTH,2026-04-25,72481.1,2961885.14
NORTH,2026-05-03,24203.67,2986088.81
NORTH,2026-05-06,18478.72,3004567.52
NORTH,2026-05-07,25435.21,3030002.73
NORTH,2026-05-15,54974.39,3084977.13
NORTH,2026-05-18,17669.76,3102646.89
NORTH,2026-05-27,28882.35,3131529.24
NORTH,2026-05-28,20343.21,3151872.44
NORTH,2026-05-30,16501.02,3168373.46
NORTH,2026-06-01,46726.43,3215099.89
NORTH,2026-06-02,48367.1,3263466.99
NORTH,2026-06-13,12716.64,3276183.63
NORTH,2026-06-30,26462.47,3302646.1
NORTH,2026-07-05,2090.4,3304736.51
NORTH,2026-08-04,38884.71,3343621.21
NORTH,2026-09-03,26052.48,3369673.7
NORTH,2026-09-06,26038.59,3395712.29
NORTH,2026-10-02,39509.35,3435221.64
NORTH,2026-10-03,2451.26,3437672.9
NORTH,2026-10-04,15131.42,3452804.31
NORTH,2026-11-02,2252.8,3455057.12
NORTH,2026-11-03,37211.94,3492269.06
SOUTH,2024-02-09,7709.2,7709.2
SOUTH,2024-02-12,38457.88,46167.08
SOUTH,2024-03-09,520.31,46687.39
SOUTH,2024-05-12,24640.94,71328.33
SOUTH,2024-07-11,23161.1,94489.43
SOUTH,2024-07-16,52726.06,147215.49
SOUTH,2024-07-18,4617.15,151832.64
SOUTH,2024-07-28,40997.46,192830.09
SOUTH,2024-08-15,16033.03,208863.12
SOUTH,2024-08-26,40627.67,249490.78
SOUTH,2024-08-29,1012.43,250503.21
SOUTH,2024-08-30,22243.12,272746.33
SOUTH,2024-09-11,25460.98,298207.31
SOUTH,2024-09-15,81276.7,379484.01
SOUTH,2024-09-19,24097.66,403581.68
SOUTH,2024-09-20,38399.03,441980.7
SOUTH,2024-09-21,8352.43,450333.13
SOUTH,2024-09-24,9179.27,459512.4
SOUTH,2024-09-29,16737.99,476250.39
SOUTH,2024-10-08,11443.93,487694.31
SOUTH,2024-10-09,14859.17,502553.48
SOUTH,2024-10-11,37974.8,540528.27
SOUTH,2024-10-12,10846.13,551374.41
SOUTH,2024-10-16,40643.89,592018.29
SOUTH,2024-10-17,15896.48,607914.78
SOUTH,2024-10-18,21800.91,629715.69
SOUTH,2024-10-23,4005.25,633720.94
SOUTH,2024-11-09,18654.56,652375.51
SOUTH,2024-11-13,9463.6,661839.11
SOUTH,2024-11-22,29821.08,691660.19
SOUTH,2024-11-30,3675.8,695335.99
SOUTH,2024-12-04,12209.09,707545.07
SOUTH,2024-12-11,23924.86,731469.94
SOUTH,2024-12-14,11683.03,743152.96
SOUTH,2024-12-16,8701.47,751854.43
SOUTH,2024-12-28,5656.84,757511.27
SOUTH,2024-12-30,24326.56,781837.83
SOUTH,2024-12-31,32528.41,814366.24
SOUTH,2025-01-02,8235.01,822601.25
SOUTH,2025-01-09,18059.38,840660.63
SOUTH,2025-01-11,10337.59,850998.22
SOUTH,2025-01-18,16970.21,867968.43
SOUTH,2025-01-19,10444.37,878412.81
SOUTH,2025-01-22,43060.3,921473.1
SOUTH,2025-01-29,59789.57,981262.67
SOUTH,2025-02-08,12495.21,993757.88
SOUTH,2025-02-09,24586.46,1018344.34
SOUTH,2025-02-25,209.39,1018553.74
SOUTH,2025-03-08,53666.52,1072220.26
SOUTH,2025-03-14,2708.64,1074928.89
SOUTH,2025-03-25,6206.04,1081134.93
SOUTH,2025-03-28,19029.98,1100164.91
SOUTH,2025-03-29,15372.96,1115537.87
SOUTH,2025-04-02,53958.54,1169496.41
SOUTH,2025-04-14,7167.36,1176663.77
SOUTH,2025-04-23,28057.25,1204721.01
SOUTH,2025-04-27,14490.45,1219211.46
SOUTH,2025-04-28,9471.35,1228682.81
SOUTH,2025-05-09,9558.83,1238241.65
SOUTH,2025-05-13,44774.99,1283016.64
SOUTH,2025-05-16,10856.49,1293873.13
SOUTH,2025-05-17,10617.64,1304490.77
SOUTH,2025-05-19,107033.79,1411524.55
SOUTH,2025-05-22,90659.78,1502184.33
SOUTH,2025-05-23,38583.8,1540768.13
SOUTH,2025-05-24,11947.3,1552715.43
SOUTH,2025-05-25,13087.95,1565803.38
SOUTH,2025-05-28,7792.01,1573595.39
SOUTH,2025-05-30,24243.14,1597838.53
SOUTH,2025-06-04,13059.86,1610898.39
SOUTH,2025-06-05,30158.42,1641056.81
SOUTH,2025-06-09,25430.85,1666487.65
SOUTH,2025-06-13,11148.44,1677636.1
SOUTH,2025-06-14,34293.19,1711929.29
SOUTH,2025-06-17,12134.31,1724063.6
SOUTH,2025-06-19,36407.04,1760470.64
SOUTH,2025-07-03,525.72,1760996.36
SOUTH,2025-07-11,48972.54,1809968.9
SOUTH,2025-07-16,15858.77,1825827.66
SOUTH,2025-07-20,30239.21,1856066.88
SOUTH,2025-07-30,30653.57,1886720.45
SOUTH,2025-08-03,26399.65,1913120.1
SOUTH,2025-08-04,5732.47,1918852.57
SOUTH,2025-08-07,12330.71,1931183.28
SOUTH,2025-08-12,137866.68,2069049.96
SOUTH,2025-08-27,16642.14,2085692.11
SOUTH,2025-09-02,21268.18,2106960.28
SOUTH,2025-09-16,3514.3,2110474.59
SOUTH,2025-09-21,35866.73,2146341.32
SOUTH,2025-09-28,40138.33,2186479.64
SOUTH,2025-10-02,21815.89,2208295.54
SOUTH,2025-10-04,18957.11,2227252.65
SOUTH,2025-10-11,33303.19,2260555.84
SOUTH,2025-10-18,17083.1,2277638.94
SOUTH,2025-10-22,49153.09,2326792.04
SOUTH,2025-10-24,49175.41,2375967.45
SOUTH,2025-10-31,1789.16,2377756.6
SOUTH,2025-11-06,46564.7,2424321.3
SOUTH,2025-11-07,27263.69,2451585.0
SOUTH,2025-11-09,33040.7,2484625.7
SOUTH,2025-11-12,2467.27,2487092.96
SOUTH,2025-11-15,36392.03,2523485.0
SOUTH,2025-11-18,29661.5,2553146.49
SOUTH,2025-11-19,2598.9,2555745.4
SOUTH,2025-11-22,7919.07,2563664.47
SOUTH,2025-12-01,25066.29,2588730.76
SOUTH,2025-12-06,51.35,2588782.11
SOUTH,2025-12-08,60417.89,2649200.0
SOUTH,2025-12-11,24640.35,2673840.35
SOUTH,2025-12-12,16382.96,2690223.3
SOUTH,2025-12-23,13706.56,2703929.87
SOUTH,2025-12-28,41927.06,2745856.92
SOUTH,2025-12-29,29939.45,2775796.37
SOUTH,2026-01-19,17740.66,2793537.03
SOUTH,2026-01-21,83838.98,2877376.01
SOUTH,2026-01-23,15825.55,2893201.56
SOUTH,2026-01-25,29161.46,2922363.02
SOUTH,2026-02-01,17242.15,2939605.17
SOUTH,2026-02-04,66248.99,3005854.16
SOUTH,2026-02-05,5367.39,3011221.55
SOUTH,2026-02-06,25106.68,3036328.23
SOUTH,2026-02-13,56215.32,3092543.55
SOUTH,2026-02-22,9627.6,3102171.14
SOUTH,2026-02-23,23129.72,3125300.86
SOUTH,2026-02-24,17576.93,3142877.8
SOUTH,2026-03-02,11850.57,3154728.37
SOUTH,2026-03-03,45104.36,3199832.73
SOUTH,2026-03-05,30714.69,3230547.42
SOUTH,2026-03-17,3358.93,3233906.35
SOUTH,2026-03-19,23258.78,3257165.13
SOUTH,2026-03-21,6832.32,3263997.45
SOUTH,2026-03-26,26075.17,3290072.62
SOUTH,2026-03-27,5461.77,3295534.39
SOUTH,2026-04-01,10877.08,3306411.48
SOUTH,2026-04-03,5248.43,3311659.9
SOUTH,2026-04-04,9536.03,3321195.93
SOUTH,2026-04-07,40785.53,3361981.46
SOUTH,2026-04-16,20151.1,3382132.56
SOUTH,2026-04-22,23200.7,3405333.26
SOUTH,2026-04-26,1584.46,3406917.72
SOUTH,2026-05-03,958.71,3407876.43
SOUTH,2026-05-06,11040.51,3418916.94
SOUTH,2026-05-14,20728.16,3439645.09
SOUTH,2026-05-15,14474.49,3454119.59
SOUTH,2026-05-16,1258.92,3455378.51
SOUTH,2026-05-17,2849.24,3458227.75
SOUTH,2026-05-23,1228.22,3459455.97
SOUTH,2026-05-24,30509.33,3489965.3
SOUTH,2026-06-03,907.69,3490872.99
SOUTH,2026-06-04,22283.93,3513156.92
SOUTH,2026-06-17,7771.96,3520928.88
SOUTH,2026-06-24,25215.19,3546144.07
SOUTH,2026-06-25,120864.67,3667008.74
SOUTH,2026-07-01,19488.74,3686497.48
SOUTH,2026-07-05,12271.95,3698769.43
SOUTH,2026-07-10,5328.56,3704097.99
SOUTH,2026-08-03,28542.63,3732640.62
SOUTH,2026-09-02,42978.37,3775618.99
SOUTH,2026-10-07,38457.89,3814076.87
SOUTH,2026-11-04,11999.69,3826076.56
WEST,2024-01-08,39806.82,39806.82
WEST,2024-01-12,16431.49,56238.31
WEST,2024-02-09,15467.35,71705.66
WEST,2024-02-12,24649.2,96354.86
WEST,2024-03-09,22274.7,118629.56
WEST,2024-04-09,5834.91,124464.47
WEST,2024-05-10,49064.91,173529.39
WEST,2024-05-12,15915.09,189444.47
WEST,2024-07-12,14040.38,203484.85
WEST,2024-07-13,1488.06,204972.92
WEST,2024-07-14,42030.33,247003.24
WEST,2024-07-15,42924.71,289927.96
WEST,2024-07-18,39268.22,329196.18
WEST,2024-07-22,635.82,329831.99
WEST,2024-07-26,39706.03,369538.02
WEST,2024-08-12,2647.44,372185.45
WEST,2024-08-13,8702.01,380887.47
WEST,2024-08-21,26078.69,406966.16
WEST,2024-08-25,11264.16,418230.32
WEST,2024-08-26,32017.88,450248.2
WEST,2024-08-29,19741.56,469989.75
WEST,2024-09-10,11263.29,481253.04
WEST,2024-09-20,6854.8,488107.84
WEST,2024-09-21,16972.54,505080.38
WEST,2024-10-13,18175.39,523255.77
WEST,2024-10-15,21324.31,544580.08
WEST,2024-10-21,44060.26,588640.34
WEST,2024-10-30,3376.7,592017.04
WEST,2024-11-09,6178.71,598195.75
WEST,2024-11-14,14274.93,612470.69
WEST,2024-11-22,37121.81,649592.5
WEST,2024-11-23,42983.45,692575.95
WEST,2024-11-24,56343.44,748919.39
WEST,2024-11-26,15564.98,764484.37
WEST,2024-12-08,52521.26,817005.63
WEST,2024-12-09,9833.67,826839.3
WEST,2024-12-10,43478.92,870318.22
WEST,2024-12-17,25735.36,896053.58
WEST,2024-12-24,9797.57,905851.15
WEST,2024-12-26,7371.53,913222.68
WEST,2024-12-31,57474.56,970697.23
WEST,2025-01-05,13929.32,984626.56
WEST,2025-01-06,82637.42,1067263.98
WEST,2025-01-12,29415.65,1096679.63
WEST,2025-01-20,29284.49,1125964.12
WEST,2025-01-22,33794.91,1159759.02
WEST,2025-01-23,3341.67,1163100.69
WEST,2025-01-24,41067.16,1204167.85
WEST,2025-02-02,48353.96,1252521.81
WEST,2025-02-20,11650.15,1264171.97
WEST,2025-02-21,11365.17,1275537.14
WEST,2025-02-23,2023.69,1277560.83
WEST,2025-03-07,28861.51,1306422.34
WEST,2025-03-17,9205.09,1315627.43
WEST,2025-03-25,54739.18,1370366.61
WEST,2025-03-27,54459.95,1424826.56
WEST,2025-04-03,39942.37,1464768.93
WEST,2025-04-07,4802.49,1469571.42
WEST,2025-04-09,19688.19,1489259.61
WEST,2025-04-17,21400.06,1510659.67
WEST,2025-04-20,20736.88,1531396.55
WEST,2025-04-27,21151.5,1552548.05
WEST,2025-05-01,2914.87,1555462.91
WEST,2025-05-06,10891.88,1566354.79
WEST,2025-05-07,6195.06,1572549.86
WEST,2025-05-10,36635.73,1609185.59
WEST,2025-05-13,3888.68,1613074.27
WEST,2025-05-14,69465.26,1682539.53
WEST,2025-05-16,8427.8,1690967.33
WEST,2025-05-17,31555.14,1722522.47
WEST,2025-05-19,6020.05,1728542.52
WEST,2025-05-23,14037.76,1742580.27
WEST,2025-05-24,4150.47,1746730.75
WEST,2025-05-31,23688.17,1770418.91
WEST,2025-06-03,10355.56,1780774.47
WEST,2025-06-04,2260.56,1783035.03
WEST,2025-06-06,19413.91,1802448.95
WEST,2025-06-09,2023.66,1804472.6
WEST,2025-06-11,14988.75,1819461.36
WEST,2025-06-15,458.96,1819920.32
WEST,2025-06-21,38452.42,1858372.73
WEST,2025-07-02,17389.11,1875761.84
WEST,2025-07-03,49075.3,1924837.14
WEST,2025-07-12,12458.27,1937295.41
WEST,2025-07-13,2587.05,1939882.45
WEST,2025-07-14,3952.13,1943834.58
WEST,2025-07-21,9068.85,1952903.43
WEST,2025-07-26,5401.26,1958304.69
WEST,2025-07-30,12538.05,1970842.74
WEST,2025-08-09,46942.11,2017784.85
WEST,2025-08-10,47486.54,2065271.39
WEST,2025-08-12,145.42,2065416.81
WEST,2025-08-13,22256.66,2087673.47
WEST,2025-08-14,35167.21,2122840.68
WEST,2025-08-15,24947.72,2147788.4
WEST,2025-08-20,20476.74,2168265.13
WEST,2025-08-28,8906.02,2177171.15
WEST,2025-08-29,14376.85,2191548.0
WEST,2025-08-31,2708.22,2194256.22
WEST,2025-09-03,19576.34,2213832.56
WEST,2025-09-06,20403.06,2234235.62
WEST,2025-09-13,12846.94,2247082.57
WEST,2025-09-23,10341.91,2257424.48
WEST,2025-09-25,8296.88,2265721.36
WEST,2025-10-17,7208.6,2272929.96
WEST,2025-10-19,44346.96,2317276.92
WEST,2025-10-25,20506.89,2337783.8
WEST,2025-11-11,15358.36,2353142.17
WEST,2025-11-15,1434.24,2354576.41
WEST,2025-11-16,75367.92,2429944.33
WEST,2025-11-21,26096.8,2456041.13
WEST,2025-11-24,68783.0,2524824.14
WEST,2025-11-30,45415.4,2570239.54
WEST,2025-12-01,19765.91,2590005.45
WEST,2025-12-03,42059.18,2632064.63
WEST,2025-12-06,36248.15,2668312.78
WEST,2025-12-18,52187.5,2720500.28
WEST,2025-12-20,56634.36,2777134.65
WEST,2025-12-22,5412.89,2782547.54
WEST,2025-12-23,12730.78,2795278.31
WEST,2025-12-25,34425.66,2829703.97
WEST,2025-12-28,20730.92,2850434.9
WEST,2025-12-31,34921.67,2885356.56
WEST,2026-01-19,25188.74,2910545.3
WEST,2026-01-22,31935.74,2942481.04
WEST,2026-01-23,13414.15,2955895.19
WEST,2026-01-29,16442.06,2972337.25
WEST,2026-02-13,62912.32,3035249.57
WEST,2026-03-01,29499.65,3064749.22
WEST,2026-03-05,16361.68,3081110.9
WEST,2026-03-19,25771.19,3106882.09
WEST,2026-03-21,6147.91,3113030.0
WEST,2026-03-25,1674.13,3114704.13
WEST,2026-03-26,9340.3,3124044.43
WEST,2026-03-28,16079.97,3140124.4
WEST,2026-03-29,12620.51,3152744.91
WEST,2026-04-01,5887.6,3158632.51
WEST,2026-04-02,50085.22,3208717.73
WEST,2026-04-04,12487.91,3221205.65
WEST,2026-04-05,11118.3,3232323.94
WEST,2026-04-14,26260.19,3258584.13
WEST,2026-04-16,15685.25,3274269.38
WEST,2026-04-21,13429.96,3287699.34
WEST,2026-04-28,13811.55,3301510.89
WEST,2026-05-04,24442.29,3325953.19
WEST,2026-05-14,8298.01,3334251.19
WEST,2026-05-21,2154.73,3336405.93
WEST,2026-05-23,18969.52,3355375.45
WEST,2026-05-28,43908.28,3399283.73
WEST,2026-05-31,26913.89,3426197.62
WEST,2026-06-20,4815.66,3431013.28
WEST,2026-06-22,53072.82,3484086.1
WEST,2026-06-25,31326.81,3515412.91
WEST,2026-06-26,49412.06,3564824.97
WEST,2026-07-03,4056.65,3568881.62
WEST,2026-07-05,3595.45,3572477.07
WEST,2026-08-01,10688.26,3583165.32
WEST,2026-09-02,16754.07,3599919.39
WEST,2026-09-04,49788.06,3649707.45
WEST,2026-10-04,32347.65,3682055.1
