item_id,order_id,product_id,quantity,unit_price,discount_percent
322,924,65,5,1313.65,25.78
323,154,112,3,9270.47,40.96
324,439,173,4,7662.85,48.83
325,941,90,5,8081.66,15.91
326,493,264,4,6433.03,5.72
327,200,175,3,3719.92,1.82
328,26,51,2,2965.12,2.42
329,225,497,2,4927.82,46.98
330,427,100,1,396.63,46.2
331,935,123,3,4193.79,13.88
332,452,97,2,9946.88,36.67
333,10,174,4,7763.83,41.1
334,446,317,4,7747.85,14.42
335,412,417,4,1284.91,35.26
336,385,40,5,5065.56,23.57
337,278,487,5,4342.57,37.01
338,196,286,3,1708.48,23.08
339,437,460,3,7142.63,39.14
340,146,269,3,1002.88,31.66
341,960,346,2,9287.13,9.58
342,484,450,1,8326.99,35.29
343,733,340,3,354.45,20.75
344,400,477,2,9392.39,46.5
345,111,369,5,6072.51,39.72
346,287,456,3,2121.01,35.58
347,134,371,4,8205.94,17.34
348,135,302,5,4349.33,46.4
349,981,396,5,5244.11,5.19
350,676,159,4,444.99,2.82
351,658,130,3,5387.4,44.31
352,368,214,4,2416.62,42.76
353,542,361,2,8105.28,28.16
354,85,466,5,4996.99,48.28
355,60,203,3,7873.53,11.54
356,797,98,2,2728.45,12.54
357,797,379,2,2343.75,29.0
358,645,446,4,2984.33,43.35
359,389,13,5,7921.6,17.14
360,941,302,1,8467.6,22.47
361,603,231,2,663.42,0.53
362,356,383,2,648.12,38.21
363,212,309,5,4781.56,48.32
364,607,131,4,7172.82,29.17
365,295,357,3,6877.49,20.03
366,316,205,3,5469.35,32.03
367,424,44,1,3677.65,46.9
368,302,55,3,4548.72,15.08
369,34,263,3,1161.67,2.65
370,431,255,1,8913.78,29.47
371,513,459,5,3818.66,28.27
372,985,109,2,7747.5,1.42
373,316,99,2,8008.19,4.55
374,564,159,1,2110.16,39.18
375,502,363,4,1409.81,19.53
376,524,276,4,3246.22,28.91
377,173,250,2,5635.81,23.71
378,296,32,3,5837.3,45.32
379,283,47,5,4826.26,14.98
380,878,64,3,8452.55,1.42
381,624,192,2,4127.38,7.14
382,892,214,5,3234.65,36.24
383,479,114,3,1036.31,18.33
384,445,1,1,7152.43,11.63
385,8,409,1,6657.52,20.03
386,736,457,4,6370.01,15.83
387,55,12,4,7088.5,10.41
388,959,318,1,4741.7,28.99
389,989,181,2,4601.17,49.44
390,513,347,1,6492.91,22.47
391,886,14,2,741.56,33.61
392,171,182,5,8821.75,9.91
393,373,75,4,6842.33,40.04
394,907,192,2,4403.45,37.23
395,960,101,1,9187.07,32.38
396,41,192,2,2530.56,41.73
397,26,84,3,1241.32,29.69
398,489,451,2,6760.82,5.51
399,952,63,3,6871.93,42.43
400,557,397,2,2704.3,12.84
401,630,13,3,5697.81,32.2
402,946,412,5,9330.55,39.32
403,521,172,5,1125.85,33.56
404,560,292,2,6862.71,25.02
405,391,27,5,8186.76,6.48
406,681,265,1,504.73,36.1
407,780,432,4,8968.27,27.67
408,689,63,2,1958.91,42.33
409,584,83,5,7246.03,13.29
410,521,157,4,5657.15,34.89
411,968,220,3,1483.5,33.4
412,687,161,4,6905.36,24.2
413,484,356,4,7103.08,46.26
414,555,161,4,2162.86,29.71
415,308,317,5,3931.94,39.05
416,542,483,5,2205.55,21.25
417,350,176,1,5784.35,38.31
418,219,499,5,4834.75,19.59
419,467,16,4,2449.53,30.62
420,74,488,1,1052.9,18.01
421,584,170,2,2186.64,47.25
422,93,294,4,6913.06,45.02
423,940,274,1,2084.53,27.9
424,335,286,5,7027.44,25.78
425,510,107,1,7807.25,25.75
426,843,49,1,5293.98,31.7
427,546,354,1,1274.23,36.53
428,709,105,2,8748.81,10.79
429,411,194,4,9572.42,21.73
430,714,49,3,4733.6,23.64
431,157,68,4,1164.27,33.9
432,227,22,5,7890.68,26.5
433,922,474,4,4604.34,20.59
434,190,202,5,6320.63,15.08
435,552,173,1,3811.8,28.16
436,740,368,3,3011.91,3.99
437,22,311,3,8765.26,24.33
438,653,3,1,9590.98,8.26
439,119,66,4,750.12,46.36
440,741,323,3,3802.63,1.98
441,441,204,2,6043.78,9.59
442,675,145,1,6008.21,16.11
443,835,493,5,1990.9,34.04
444,97,295,2,1595.52,3.6
445,477,268,3,6398.01,49.41
446,971,32,2,511.5,37.01
447,594,223,2,7939.6,0.04
448,90,305,4,9830.35,30.2
449,971,16,2,8313.01,40.86
450,492,23,1,5105.43,9.49
451,75,270,3,2295.1,3.62
452,62,332,2,1907.36,39.81
453,291,442,1,7368.37,7.49
454,105,69,1,6961.77,20.3
455,634,289,1,1706.3,20.87
456,24,474,3,1891.15,19.8
457,917,338,5,2684.49,31.24
458,677,431,4,2989.64,33.58
459,929,498,3,7790.81,36.92
460,646,469,1,7086.36,42.5
461,857,450,3,2972.79,33.51
462,194,383,4,3287.13,19.13
463,853,190,3,9644.78,18.07
464,582,421,4,154.17,37.62
465,700,277,4,590.04,34.9
466,428,411,2,7870.78,11.66
467,479,400,2,6027.06,24.95
468,662,307,2,6673.94,9.55
469,245,34,2,1973.53,19.96
470,767,356,2,9011.02,14.78
471,258,143,4,2949.86,17.6
472,784,195,2,7992.95,6.09
473,463,240,1,2866.49,48.73
474,319,246,1,1150.96,39.61
475,287,223,1,5292.25,8.46
476,586,363,4,6681.0,41.37
477,885,416,3,2080.26,0.71
478,193,417,2,2398.42,29.53
479,684,236,3,9379.16,5.68
480,201,240,1,939.9,28.18
481,667,111,2,7687.52,17.21
482,35,324,4,1792.6,25.92
483,527,359,3,2591.93,33.43
484,1,215,4,608.71,39.23
485,274,114,2,5493.75,26.63
486,191,471,2,7400.67,13.26
487,568,460,4,1628.37,18.36
488,67,401,2,9239.06,46.81
489,461,244,1,2021.37,26.85
490,893,15,5,1576.82,18.76
491,578,75,1,7287.23,21.46
492,285,11,5,9494.23,37.62
493,866,107,4,6950.84,14.97
494,368,144,3,9604.92,38.84
495,930,200,5,8651.78,13.79
496,824,254,4,3812.43,5.59
497,289,270,5,2299.2,21.82
498,698,239,2,9844.13,22.04
499,38,69,3,7294.75,50.0
500,155,245,5,3730.69,39.75
